,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
537,oregon coast,7500,2008,ford,f-150,excellent,240000,automatic,4wd,truck,grey
538,fargo / moorhead,29495,2016,ford,f-150 xlt 4x4,like new,43882,automatic,4wd,truck,red
539,daytona beach,1850,1998,dodge,dakota slt,fair,175000,automatic,rwd,pickup,white
540,st george,7000,1964,mercury,monterrey breezeway,good,14150,automatic,rwd,coupe,black
541,daytona beach,1,2017,dodge,durango,excellent,36318,other,4wd,SUV,white
542,ft myers / SW florida,15500,2014,bmw,x3 xdrive35i m,excellent,101700,automatic,4wd,SUV,white
543,santa barbara,8250,2005,nissan,titan,good,190000,automatic,rwd,truck,grey
544,annapolis,10500,2013,toyota,corolla,excellent,75096,automatic,fwd,sedan,silver
545,new haven,5500,2014,hyundai,sonata,good,153000,automatic,fwd,sedan,blue
546,helena,16763,2011,chevrolet,silverado 1500,good,166782,automatic,4wd,truck,white
547,syracuse,12990,2017,chevrolet,spark ls hatchback 4d,good,10237,automatic,fwd,hatchback,grey
548,oregon coast,10745,2017,hyundai,elantra se,excellent,85398,automatic,fwd,sedan,red
549,greenville / upstate,14500,2014,ford,explorer xlt,excellent,121000,automatic,fwd,SUV,black
550,sheboygan,33483,2016,gmc,sierra 1500,excellent,87755,automatic,4wd,truck,black
551,boise,195,2015,hyundai,sonata,excellent,115714,automatic,fwd,sedan,silver
552,western massachusetts,18995,2018,subaru,forester limited,excellent,40000,automatic,4wd,SUV,silver
553,flagstaff / sedona,19990,2010,honda,ridgeline rts pickup 4d 5,good,51695,other,4wd,pickup,silver
554,boise,5495,2003,honda,crv,excellent,179700,automatic,4wd,SUV,grey
555,treasure coast,3950,2008,audi,a4,excellent,176000,automatic,fwd,sedan,blue
556,asheville,13995,2015,subaru,forester 2.5i,excellent,99903,automatic,4wd,wagon,silver
557,anchorage / mat-su,14750,2015,chevrolet,cruze,excellent,61527,automatic,fwd,sedan,silver
558,scranton / wilkes-barre,7500,2011,ford,f-150,good,308413,automatic,4wd,truck,red
559,clarksville,21990,2016,buick,cascada premium,good,20405,other,fwd,other,black
560,new hampshire,7995,2010,ford,fusion,excellent,95224,other,fwd,sedan,red
561,southwest michigan,11700,2011,toyota,rav4,excellent,118798,automatic,4wd,SUV,silver
562,south jersey,6750,2010,chevrolet,traverse,like new,80000,automatic,fwd,SUV,grey
563,harrisonburg,6995,2003,toyota,highlander,excellent,119000,automatic,4wd,SUV,silver
564,fayetteville,0,2019,ram,1500 big horn/lone star 4wd,good,19838,automatic,4wd,pickup,white
565,jersey shore,53990,2015,chevrolet,corvette z06 coupe 2d,good,39926,other,rwd,coupe,silver
566,san diego,2400,2001,honda,civic,excellent,120000,automatic,fwd,sedan,silver
567,columbus,3495,2006,toyota,camry,excellent,146692,automatic,fwd,sedan,brown
568,york,25590,2010,chevrolet,silverado 1500 crew,good,51489,other,4wd,pickup,silver
569,macon / warner robins,5500,2008,toyota,corolla,like new,60000,automatic,fwd,sedan,blue
570,nashville,9998,2010,chevrolet,tahoe,excellent,159000,automatic,rwd,SUV,white
571,bowling green,9199,2015,nissan,altima 2.5 sl,excellent,62000,automatic,fwd,sedan,black
572,boise,3200,2005,nissan,altima,good,177000,automatic,fwd,sedan,blue
573,orange county,32590,2017,chevrolet,silverado 1500 double,good,15399,automatic,4wd,pickup,black
574,treasure coast,38990,2017,toyota,tundra crewmax sr5 pickup,good,19729,automatic,4wd,pickup,silver
575,albuquerque,10995,2016,toyota,corolla,excellent,83796,automatic,fwd,sedan,brown
576,louisville,12935,2009,lexus,ls 460,excellent,130384,automatic,4wd,sedan,black
577,"washington, DC",3700,2013,chevrolet,impala ltz,good,135000,automatic,fwd,sedan,white
578,twin tiers NY/PA,36990,2016,ford,f150 supercrew cab xlt,good,15568,other,4wd,pickup,blue
579,baltimore,4999,1995,gmc,g3500,like new,70000,automatic,rwd,truck,white
580,south florida,11980,2015,toyota,avalon touring,like new,80000,automatic,fwd,sedan,black
581,la salle co,11590,2014,kia,forte koup ex coupe 2d,good,55848,automatic,fwd,coupe,black
582,owensboro,21990,2017,volkswagen,golf gti sport,good,18548,automatic,fwd,sedan,black
583,western massachusetts,3995,2012,ford,focus,good,143000,automatic,fwd,hatchback,black
584,new york city,16990,2015,mazda,mx-5 miata sport,good,24689,other,rwd,other,white
585,fargo / moorhead,5500,2011,chevrolet,equinox,good,135610,automatic,fwd,SUV,custom
586,albany,2000,2002,ford,escape xlt 4x4,fair,200000,automatic,4wd,SUV,red
587,boise,33900,2017,toyota,tacoma 4x4,excellent,51800,automatic,4wd,truck,white
588,wichita,11900,2012,honda,civic,good,112409,manual,fwd,coupe,red
589,western slope,3975,1999,chrysler,concorde lxi,excellent,108778,automatic,fwd,sedan,grey
590,delaware,30590,2014,gmc,sierra 1500 double cab sle,good,34292,other,4wd,pickup,black
591,central NJ,1800,2005,dodge,grand caravan,good,102927,automatic,fwd,mini-van,black
592,amarillo,8000,2013,dodge,dart,excellent,68321,automatic,fwd,sedan,white
593,modesto,14990,2017,jeep,patriot sport suv 4d,good,54315,automatic,4wd,other,silver
594,north jersey,3650,2004,dodge,neon se,like new,40321,automatic,fwd,sedan,blue
595,philadelphia,3999,2006,hyundai,sonata,like new,152613,automatic,fwd,sedan,black
596,buffalo,6000,2010,jeep,liberty limited,excellent,145059,automatic,4wd,SUV,grey
597,shreveport,16990,2014,honda,accord ex-l coupe 2d,good,22416,automatic,fwd,coupe,blue
598,cedar rapids,8999,2007,honda,ridgeline rts 4wd,good,113613,automatic,4wd,truck,grey
599,milwaukee,10590,2013,dodge,avenger sxt sedan 4d,good,69572,other,fwd,sedan,blue
600,san diego,22590,2015,bmw,5 series 528i sedan 4d,good,37555,automatic,rwd,sedan,blue
601,tucson,27000,1931,ford,model a,good,10000,automatic,rwd,coupe,yellow
602,bismarck,22950,2013,chevrolet,silverado 2500,excellent,233033,automatic,4wd,truck,white
603,lakeland,6300,2009,nissan,altima,excellent,173000,automatic,4wd,sedan,blue
604,buffalo,5000,2005,cadillac,srx,good,145000,automatic,4wd,SUV,brown
605,hudson valley,15000,2012,toyota,highlander,excellent,147850,automatic,4wd,SUV,silver
606,bemidji,5495,2011,mercury,grand marquis ls,good,101000,automatic,rwd,sedan,white
607,central NJ,6195,2015,nissan,versa note,good,85228,automatic,fwd,hatchback,grey
608,inland empire,4750,2005,ford,freestyle limited,excellent,175600,automatic,4wd,SUV,black
609,amarillo,22995,2013,bmw,x6,like new,83993,automatic,4wd,SUV,white
610,anchorage / mat-su,3800,2008,ford,escape,good,139000,automatic,4wd,SUV,green
611,rochester,12990,2011,volkswagen,gti 2.0t hatchback,good,82444,other,fwd,coupe,black
612,hawaii,5800,2011,nissan,pathfinder,like new,153000,automatic,rwd,SUV,white
613,tulsa,41384,2017,chevrolet,suburban,excellent,56091,automatic,4wd,SUV,black
614,cleveland,7995,2005,lexus,es 330,good,52728,automatic,fwd,sedan,custom
615,milwaukee,10500,2002,ford,f350 xlt diesel 4x4,good,126462,automatic,4wd,truck,white
616,panama city,0,2019,lincoln,mkz reserve ii,good,4729,automatic,fwd,hatchback,white
617,space coast,0,2012,nissan,versa sv,good,90844,automatic,fwd,hatchback,blue
618,hawaii,4200,2005,mazda,3,good,91000,manual,fwd,hatchback,blue
619,south florida,7500,2010,volkswagen,cc turbo,like new,26393,automatic,fwd,sedan,white
620,denver,8999,2005,lexus,rx 330,excellent,143878,automatic,4wd,SUV,white
621,bend,8000,2015,hyundai,elantra se sedan 4d,excellent,60000,automatic,fwd,sedan,silver
622,reno / tahoe,9995,2008,bmw,3 series,excellent,87073,automatic,4wd,coupe,blue
623,western slope,4500,2004,ford,explorer limited,good,201522,automatic,4wd,SUV,red
624,knoxville,30590,2017,nissan,titan crew cab sv pickup,good,16381,other,4wd,pickup,red
625,norfolk / hampton roads,17700,2018,subaru,crosstrek,like new,33404,automatic,4wd,wagon,red
626,modesto,9500,2010,chevrolet,silverado,good,217000,automatic,rwd,truck,white
627,columbia,32950,2007,chevrolet,corvette coupe,like new,12400,automatic,rwd,coupe,white
628,"kansas city, MO",7750,2014,mazda,cx-5 touring,excellent,174836,automatic,fwd,SUV,red
629,rhode island,10995,2010,toyota,tacoma,excellent,149000,automatic,rwd,pickup,red
630,saginaw-midland-baycity,30990,2017,jeep,wrangler unlimited sport s,good,26451,other,4wd,other,blue
631,rockford,0,2013,honda,accord sdn,excellent,74358,automatic,fwd,sedan,silver
632,hartford,5950,2006,ford,escape hybrid awd,good,89000,automatic,4wd,SUV,grey
633,bend,48000,2018,chevrolet,silverado 1500,like new,9500,automatic,4wd,pickup,black
634,huntsville / decatur,29990,2017,jeep,wrangler unlimited sport,good,18934,other,4wd,other,black
635,state college,34990,2020,jeep,wrangler unlimited sport s,good,17622,automatic,4wd,SUV,red
636,louisville,40990,2017,ford,super duty f-650 straight frame,good,75741,automatic,rwd,truck,white
637,columbus,13995,2019,kia,forte,excellent,17664,automatic,fwd,sedan,grey
638,bowling green,12900,2014,volkswagen,jetta sportwagentdi,good,28400,automatic,fwd,wagon,silver
639,milwaukee,3995,2003,ford,windstar,excellent,122497,automatic,fwd,mini-van,blue
640,kalamazoo,8999,2014,chevrolet,impala,good,116251,automatic,fwd,sedan,black
641,orange county,19000,2017,nissan,frontier,excellent,61000,automatic,rwd,truck,black
642,san luis obispo,29999,2005,ford,excursion,excellent,83000,automatic,4wd,SUV,red
643,fresno / madera,14990,2013,volkswagen,gti hatchback sedan,good,67611,other,fwd,sedan,black
644,new york city,2500,2005,chevrolet,express 2500 cargo van,fair,146740,automatic,rwd,van,grey
645,fresno / madera,49990,2016,porsche,cayman coupe 2d,good,9631,automatic,rwd,coupe,black
646,eau claire,4900,1996,toyota,t100,excellent,200000,manual,rwd,pickup,white
647,cincinnati,6386,1997,chevrolet,c2500,good,90988,automatic,rwd,truck,white
648,denver,25990,2017,bmw,x3 sdrive28i sport utility,good,26841,automatic,rwd,other,black
649,corpus christi,12999,2008,chevrolet,tahoe,excellent,111515,automatic,4wd,SUV,white
650,milwaukee,26990,2015,lexus,gs 350 sedan 4d,good,17680,automatic,rwd,sedan,black
651,san diego,18888,1995,bmw,m3,excellent,118658,manual,rwd,coupe,silver
652,baltimore,12800,2012,chevrolet,express,good,128000,automatic,rwd,van,white
653,columbus,21750,2018,bmw,i3 range extender hatchback,excellent,29787,automatic,rwd,hatchback,blue
654,wichita,3495,2007,ford,f150,good,279112,other,rwd,truck,white
655,south coast,14891,2017,dodge,grand caravan sxt,good,74561,automatic,fwd,van,silver
656,buffalo,3500,2011,chevrolet,hhr,good,127000,automatic,fwd,hatchback,blue
657,santa barbara,4995,2005,acura,rsx,excellent,161974,automatic,fwd,coupe,black
658,lansing,20990,2016,buick,cascada premium,good,33368,other,fwd,other,black
659,fredericksburg,5995,2010,chrysler,town & country,excellent,164000,automatic,fwd,van,white
660,indianapolis,6499,2000,pontiac,firebird t-top,good,47500,automatic,rwd,coupe,black
661,myrtle beach,21990,2012,mercedes-benz,e-class e 550,good,61594,automatic,rwd,convertible,black
662,boulder,6200,2008,mini,cooper convertible,good,92633,manual,fwd,convertible,blue
663,jacksonville,38590,2019,tesla,model 3 standard range,good,6084,other,rwd,sedan,blue
664,fargo / moorhead,17295,2019,ford,escape,good,58893,automatic,4wd,SUV,orange
665,houston,5900,2013,chevrolet,sonic hatchback lt,excellent,105705,automatic,fwd,hatchback,blue
666,san diego,20590,2013,subaru,brz premium coupe 2d,good,31136,other,rwd,coupe,silver
667,las vegas,4900,2005,toyota,highlander,good,149000,automatic,4wd,SUV,silver
668,daytona beach,7999,2011,chevrolet,hhr,excellent,108950,automatic,fwd,wagon,silver
669,sarasota-bradenton,9995,2009,toyota,venz fwd,excellent,120000,automatic,fwd,hatchback,white
670,phoenix,20500,2017,audi,a4 quattro premium,like new,55000,automatic,4wd,sedan,silver
671,fargo / moorhead,25995,2018,hyundai,santa fe sport,excellent,25674,automatic,4wd,SUV,white
672,clarksville,15900,2016,ford,fusion,excellent,28665,automatic,fwd,sedan,black
673,anchorage / mat-su,12995,2013,dodge,dart limited,like new,40066,manual,fwd,sedan,black
674,peoria,3333,2010,hyundai,sonata,excellent,213441,automatic,fwd,sedan,silver
675,jackson,30820,2015,ford,f-150,good,64378,automatic,4wd,truck,red
676,jacksonville,16900,2013,lexus,es350,excellent,100343,automatic,fwd,sedan,black
677,hickory / lenoir,21990,2012,toyota,tacoma access cab pickup,good,51707,other,4wd,pickup,white
678,reno / tahoe,4500,1993,honda,civic lx,good,160000,manual,fwd,sedan,red
679,klamath falls,22000,2014,ford,f150,excellent,67000,automatic,4wd,pickup,blue
680,ventura county,16990,2011,volvo,c70 t5 convertible 2d,good,34138,other,fwd,convertible,red
681,los angeles,5600,2007,toyota,prius hybrid,like new,152000,automatic,fwd,hatchback,blue
682,little rock,3300,2000,chevrolet,suburban,good,230000,automatic,4wd,SUV,brown
683,indianapolis,1850,1998,chevrolet,s10 pickup,good,160000,automatic,4wd,pickup,custom
684,central NJ,8995,2006,ford,f150 lariat,good,140000,automatic,4wd,pickup,silver
685,ithaca,6995,2006,buick,lucerne,excellent,95000,automatic,fwd,sedan,red
686,space coast,1,2015,mitsubishi,lancer,excellent,17999,other,4wd,sedan,red
687,monterey bay,22990,2019,mazda,mx-5 miata sport,good,12012,other,rwd,other,white
688,fort collins / north CO,18590,2013,mercedes-benz,glk-class glk 350,good,60598,automatic,rwd,other,white
689,vermont,2800,2013,ford,focus s,good,149810,automatic,fwd,sedan,grey
690,SF bay area,15699,2017,honda,civic ex,like new,50500,automatic,fwd,coupe,black
691,spokane / coeur d'alene,5600,2009,mitsubishi,lancer gts 4dr sedan,good,116000,manual,fwd,sedan,red
692,holland,0,2014,ford,explorer,excellent,95028,automatic,4wd,sedan,silver
693,southwest michigan,33590,2015,jeep,wrangler unlimited rubicon,good,44662,other,4wd,other,white
694,birmingham,10900,2004,chevrolet,silverado 2500 hd,good,242597,automatic,rwd,truck,black
695,springfield,1800,2000,ford,mustang,good,229000,manual,rwd,coupe,silver
696,santa maria,17500,2013,chevrolet,express g1500,excellent,67776,automatic,rwd,van,black
697,albany,5500,2012,volkswagen,jetta,good,136000,automatic,fwd,sedan,silver
698,northern panhandle,3195,2004,ford,escape,good,144400,automatic,4wd,SUV,black
699,fayetteville,0,2018,hyundai,tucson sel plus,good,43782,automatic,fwd,other,silver
700,worcester / central MA,4500,2005,toyota,matrix 4x4 5dr h/b,excellent,153000,automatic,4wd,hatchback,silver
701,roanoke,5999,2011,chevrolet,impala limited,excellent,149116,automatic,fwd,mini-van,silver
702,bend,8998,2007,nissan,frontier,excellent,188985,manual,4wd,pickup,silver
703,annapolis,8000,2012,kia,sorento sx,excellent,136000,automatic,4wd,SUV,silver
704,pittsburgh,15990,2015,buick,verano sedan 4d,good,17988,automatic,fwd,sedan,white
705,boston,26495,2014,chevrolet,silverado 1500,excellent,103615,automatic,4wd,truck,custom
706,south bend / michiana,20990,2015,ford,explorer xlt sport utility,good,41249,other,4wd,SUV,white
707,mankato,44500,2018,gmc,denali,excellent,26000,automatic,4wd,pickup,custom
708,san luis obispo,4500,1999,jeep,cherokee sports/classic,good,166000,automatic,rwd,SUV,red
709,tampa bay area,11990,2013,volkswagen,cc sport sedan 4d,good,61245,automatic,fwd,sedan,white
710,jacksonville,1,2010,honda,civic,excellent,86872,automatic,fwd,sedan,silver
711,des moines,18900,2014,mercedes-benz,gl 350 bluetec suv,excellent,102360,automatic,4wd,SUV,grey
712,sacramento,13999,2009,gmc,yukon xl sle w/3sa,good,106755,automatic,4wd,other,blue
713,des moines,5400,2009,audi,a4 cabriolet 2.0 s-line,excellent,122600,automatic,fwd,convertible,yellow
714,dallas / fort worth,8200,2006,chevrolet,3500 flat bed pickup,good,152000,automatic,rwd,truck,white
715,scranton / wilkes-barre,4800,2008,acura,tl,good,180000,automatic,fwd,sedan,silver
716,battle creek,6900,2012,chevrolet,malibu lt,excellent,129000,automatic,fwd,sedan,white
717,omaha / council bluffs,14000,2012,toyota,rav4,excellent,135000,automatic,4wd,SUV,white
718,madison,8300,2010,volkswagen,gti,excellent,123000,manual,fwd,hatchback,black
719,"washington, DC",7999,2012,jeep,liberty latitude,excellent,127298,automatic,4wd,SUV,black
720,space coast,3400,2002,audi,a6 3.0 quattro,good,131000,automatic,4wd,sedan,green
721,grand rapids,13990,2016,chevrolet,malibu,good,77400,automatic,fwd,sedan,black
722,southeast IA,950,1994,buick,parkeavenue,fair,176000,automatic,fwd,sedan,white
723,lake of the ozarks,13500,1999,ford,f350 4x4,excellent,312000,automatic,4wd,truck,green
724,baton rouge,6990,2010,toyota,corolla le,excellent,97310,automatic,fwd,sedan,black
725,south jersey,16990,2012,volkswagen,eos lux hard top,good,24513,automatic,fwd,convertible,blue
726,east idaho,14995,2015,ford,escape se,excellent,65000,automatic,4wd,SUV,silver
727,york,9500,2004,toyota,4runner,excellent,197000,automatic,4wd,SUV,custom
728,columbus,1500,1995,buick,park avenue,excellent,185492,automatic,fwd,sedan,silver
729,sarasota-bradenton,34990,2017,toyota,tundra,excellent,94220,automatic,4wd,pickup,silver
730,grand rapids,7550,2006,chevrolet,silverado 1500,fair,146100,automatic,4wd,truck,grey
731,muskegon,5995,2012,kia,soul,excellent,138701,automatic,fwd,sedan,custom
732,fort smith,0,2013,mercedes-benz,c-class,excellent,44834,automatic,rwd,sedan,black
733,huntington-ashland,8500,2002,chevrolet,silverado,excellent,168000,automatic,4wd,truck,red
734,inland empire,2500,2002,subaru,forester,excellent,170,manual,4wd,wagon,silver
735,milwaukee,3200,2010,ford,explorer xlt,good,180408,automatic,4wd,SUV,white
736,inland empire,7500,2014,nissan,altima 2.5 sv sedan,excellent,105519,automatic,fwd,sedan,silver
737,shreveport,2200,2007,saturn,ion,good,120,automatic,fwd,sedan,black
738,SF bay area,13538,2015,nissan,rogue sv,good,69152,other,fwd,hatchback,blue
739,boston,16990,2010,mazda,mx-5 miata grand touring,good,10842,other,rwd,other,red
740,iowa city,9220,2008,toyota,highlander,good,147241,automatic,4wd,SUV,silver
741,wilmington,6000,2007,ram,1500,good,152000,automatic,4wd,pickup,black
742,hudson valley,3200,2005,pontiac,grand prix gt,like new,174896,automatic,fwd,sedan,blue
743,indianapolis,22590,2013,chevrolet,silverado 1500,good,93127,other,4wd,pickup,blue
744,rockford,31995,2016,ford,f-150,excellent,75280,automatic,4wd,pickup,black
745,fargo / moorhead,23488,2012,chevrolet,express cargo van,good,55067,automatic,4wd,van,silver
746,san angelo,7950,1961,ford,f950 fire truck,good,75000,manual,rwd,truck,red
747,youngstown,13800,2013,dodge,caravan wheelchair van,excellent,87300,automatic,rwd,mini-van,blue
748,scranton / wilkes-barre,11590,2013,honda,civic lx coupe 2d,good,93097,other,fwd,coupe,black
749,north jersey,10000,2016,chevrolet,trax lt,like new,85889,automatic,4wd,SUV,red
750,knoxville,34990,2015,chevrolet,silverado 2500 hd crew,good,85747,automatic,4wd,pickup,blue
751,"st louis, MO",19490,2012,chevrolet,avalanche ltz,excellent,128670,automatic,4wd,truck,black
752,bakersfield,29990,2016,gmc,canyon crew cab slt pickup,good,26297,other,4wd,pickup,brown
753,south jersey,38590,2019,tesla,model 3 standard range,good,6084,other,rwd,sedan,blue
754,houston,10700,2013,mercedes-benz,benz e350,like new,93000,automatic,rwd,sedan,black
755,fayetteville,14995,2016,kia,sorento,excellent,145988,automatic,fwd,SUV,silver
756,wichita,3500,2008,chevrolet,trailblazer,good,153000,automatic,4wd,SUV,grey
757,greenville / upstate,5400,2006,nissan,pathfinder le 4wd,good,146550,automatic,4wd,SUV,silver
758,south florida,499,2014,gmc,sierra,excellent,137000,automatic,fwd,truck,green
759,champaign urbana,12500,1999,ford,f-250 super duty,good,222725,automatic,4wd,truck,white
760,south dakota,26995,2018,nissan,frontier,good,59136,automatic,4wd,truck,silver
761,rhode island,26990,2014,ford,expedition el limited sport,good,46259,other,4wd,other,black
762,raleigh / durham / CH,22995,2012,chevrolet,silverado 3500hd,excellent,197376,automatic,4wd,pickup,white
763,tri-cities,8500,2008,gmc,yukon denali xl,good,222150,automatic,4wd,SUV,black
764,grand rapids,15995,2017,chevrolet,bolt ev,excellent,26618,automatic,fwd,hatchback,blue
765,bloomington,15997,2015,nissan,rogue,like new,49199,automatic,fwd,SUV,black
766,redding,28985,2017,bmw,5 series,excellent,48209,automatic,rwd,sedan,grey
767,columbia,66900,2019,ram,2500,like new,2000,automatic,4wd,truck,black
768,cedar rapids,4200,2001,chevrolet,tracker,good,140000,automatic,4wd,SUV,blue
769,gold country,5995,2001,gmc,sierra 2500 ext cab,good,168000,automatic,rwd,pickup,brown
770,grand rapids,13995,2018,subaru,outback 2.5i premium,excellent,142000,automatic,4wd,wagon,black
771,milwaukee,3300,2000,toyota,camry le,good,182000,automatic,fwd,sedan,white
772,appleton-oshkosh-FDL,7500,2004,toyota,rav4,excellent,97657,automatic,4wd,SUV,green
773,lynchburg,6995,2015,nissan,sentra sv,excellent,44907,automatic,fwd,sedan,silver
774,columbia,0,2011,ford,f-250 sd,good,0,automatic,rwd,truck,white
775,new york city,15200,2011,audi,q7,excellent,89000,automatic,4wd,SUV,black
776,new orleans,4500,2011,subaru,impreza,excellent,161000,manual,4wd,hatchback,red
777,milwaukee,6750,2008,toyota,matrix cc,excellent,97000,automatic,fwd,hatchback,blue
778,mohave county,4700,1998,ford,f-150,good,110832,automatic,rwd,truck,silver
779,memphis,3495,2002,ford,explorer sport,excellent,149000,automatic,fwd,SUV,black
780,fresno / madera,17990,2017,hyundai,veloster turbo r-spec,good,32231,other,fwd,coupe,blue
781,hudson valley,25997,2018,subaru,crosstrek,excellent,38604,automatic,4wd,SUV,blue
782,yakima,19995,2013,toyota,4runner,good,89187,automatic,4wd,SUV,white
783,hartford,5000,2005,gmc,canyon sle extended cab,good,188000,automatic,4wd,pickup,silver
784,wichita,5800,2016,nissan,versa note,excellent,45000,automatic,fwd,hatchback,black
785,south coast,40990,2014,chevrolet,corvette stingray,good,26309,other,rwd,coupe,black
786,heartland florida,13500,2007,ford,e-350sd commercial van,excellent,141369,automatic,rwd,van,white
787,oklahoma city,22990,2017,volkswagen,golf gti sport,good,18343,other,fwd,sedan,blue
788,rochester,28500,2010,ford,f350 diesel powerstroke,excellent,69645,automatic,4wd,pickup,green
789,wausau,6950,2014,chevrolet,spark ls,excellent,63624,automatic,fwd,hatchback,purple
790,ventura county,22990,2014,nissan,370z coupe 2d,good,39918,automatic,rwd,coupe,grey
791,kalamazoo,7199,2014,chevrolet,impala,good,127585,automatic,fwd,sedan,silver
792,des moines,14850,2016,jeep,cherokee latitude 4x4,excellent,64000,automatic,4wd,SUV,grey
793,visalia-tulare,0,2016,honda,civic ex-t sedan 4d,excellent,61832,automatic,fwd,sedan,black
794,phoenix,5695,2015,mitsubishi,mirage,excellent,55025,manual,fwd,hatchback,black
795,bellingham,2500,2001,chevrolet,tracker,fair,198000,automatic,4wd,SUV,white
796,sarasota-bradenton,7995,2009,hyundai,azera,like new,56388,automatic,fwd,sedan,silver
797,york,4950,2005,nissan,maxima,excellent,156239,automatic,fwd,sedan,black
798,green bay,15499,2017,ford,escape,excellent,86000,automatic,4wd,SUV,silver
799,twin tiers NY/PA,3800,2007,honda,accord,good,145000,automatic,fwd,sedan,blue
800,wichita falls,42000,2017,gmc,yukon denali 4wd,excellent,65500,automatic,4wd,SUV,black
801,north mississippi,17250,2013,chevrolet,silverado,good,186000,automatic,4wd,truck,white
802,madison,40990,2017,gmc,sierra 1500 crew cab slt,good,23696,automatic,4wd,pickup,blue
803,san antonio,5500,2013,kia,rio,excellent,69455,manual,fwd,sedan,red
804,louisville,44590,2020,chevrolet,suburban lt sport,good,36685,automatic,4wd,other,black
805,cedar rapids,5995,2010,chevrolet,impala,excellent,92089,automatic,fwd,sedan,silver
806,sacramento,12990,2015,chevrolet,trax lt sport utility,good,50838,other,fwd,hatchback,brown
807,boise,8988,2013,hyundai,veloster,good,102446,other,fwd,hatchback,black
808,bend,5999,2001,toyota,sequoia,fair,205919,automatic,4wd,SUV,green
809,inland empire,18500,2002,lexus,lx470 land cruiser,excellent,187000,automatic,4wd,SUV,white
810,southeast missouri,14995,2016,kia,soul,excellent,65398,automatic,fwd,wagon,black
811,new york city,9990,2010,dodge,dakota,good,120971,automatic,4wd,truck,white
812,new hampshire,5995,2010,kia,sportage,excellent,133000,automatic,4wd,SUV,white
813,SF bay area,17998,2016,acura,tlx,good,76520,automatic,fwd,sedan,black
814,orange county,0,2018,nissan,pathfinder sv,like new,40491,automatic,fwd,SUV,grey
815,el paso,24999,2019,buick,enclave,excellent,28022,automatic,rwd,SUV,custom
816,ft myers / SW florida,4495,2008,mercedes-benz,smart car pure,good,87250,automatic,rwd,sedan,silver
817,eau claire,38590,2018,toyota,tundra crewmax sr5 pickup,good,35156,other,4wd,pickup,black
818,cincinnati,8684,2017,chevrolet,spark,good,30651,other,fwd,hatchback,blue
819,indianapolis,3600,2004,nissan,maxima,good,120000,automatic,fwd,sedan,custom
820,rochester,4500,2007,mazda,mazda3,excellent,103000,automatic,fwd,sedan,grey
821,SF bay area,3500,1998,volvo,s90,good,170000,automatic,rwd,sedan,white
822,long island,13500,2013,honda,cr-v ex-l,excellent,102799,automatic,4wd,SUV,grey
823,tyler / east TX,18900,2015,dodge,charger sxt,like new,82231,automatic,rwd,sedan,red
824,central NJ,55990,2016,dodge,charger srt hellcat sedan,good,14773,other,rwd,sedan,purple
825,eugene,29000,2015,ford,f-150,like new,112500,automatic,4wd,pickup,red
826,philadelphia,10900,2016,chevrolet,cruze lt,good,52050,automatic,fwd,sedan,white
827,new haven,10500,2010,chevrolet,tahoe ltz,good,188000,automatic,4wd,SUV,silver
828,boise,34499,2018,ford,f-150,excellent,74994,automatic,4wd,pickup,black
829,boston,10999,2009,toyota,rav4 limited,excellent,100000,automatic,4wd,SUV,silver
830,boston,4950,2007,bmw,328xi 3 series awd 3.0l,excellent,150000,automatic,4wd,sedan,black
831,redding,11990,2010,jeep,liberty sport utility 4d,good,76766,other,4wd,SUV,silver
832,eugene,22900,2004,ram,3500 quad cab,excellent,127645,automatic,rwd,pickup,silver
833,fort collins / north CO,3000,2007,infiniti,m 45 x,salvage,132487,automatic,4wd,sedan,silver
834,des moines,9950,2011,ford,f-150,good,179012,automatic,4wd,pickup,white
835,tulsa,0,2015,chevrolet,traverse,excellent,82253,automatic,fwd,SUV,blue
836,"st louis, MO",11990,1977,chevrolet,corvette,excellent,68563,automatic,rwd,convertible,white
837,toledo,19700,2014,gmc,yukon denali awd,excellent,149182,automatic,4wd,SUV,black
838,north jersey,8477,2009,acura,rdx,new,80514,automatic,4wd,SUV,silver
839,seattle-tacoma,5500,2013,ford,focus se hatchback,excellent,128503,manual,fwd,hatchback,red
840,memphis,21990,2011,mercedes-benz,e-class e 350,good,33224,automatic,rwd,other,white
841,new orleans,5800,2010,jeep,patriot sport 4x4,good,156321,automatic,4wd,SUV,brown
842,visalia-tulare,10990,2016,ford,focus electric hatchback 4d,good,27646,other,fwd,hatchback,white
843,boston,13895,2007,gmc,sierra 1500,excellent,120000,automatic,4wd,truck,red
844,little rock,6200,2013,gmc,terrain,like new,120560,automatic,4wd,SUV,black
845,little rock,4800,2002,chevrolet,s10,good,82456,automatic,rwd,pickup,white
846,pensacola,24477,2016,toyota,highlander limited,excellent,85847,automatic,fwd,SUV,white
847,augusta,0,2006,gmc,canyon crew cab sle,excellent,200000,automatic,rwd,truck,grey
848,green bay,30990,2014,mercedes-benz,e-class e 350,good,24309,automatic,rwd,other,silver
849,jackson,32000,2015,ford,f350 super duty,good,78200,automatic,4wd,truck,brown
850,yakima,4500,1994,cadillac,eldorado,good,153000,automatic,fwd,coupe,green
