,region,price,year,manufacturer,model,condition,odometer,transmission,drive,type,paint_color
1819,anchorage / mat-su,11950,2010,ford,f-150,excellent,109010,automatic,4wd,truck,white
1820,omaha / council bluffs,15995,2017,dodge,charger sxt,excellent,41,automatic,rwd,sedan,black
1821,fresno / madera,8995,2014,chrysler,200,excellent,95880,automatic,fwd,sedan,white
1822,memphis,17893,2015,buick,enclave,excellent,102789,automatic,fwd,SUV,white
1823,greenville / upstate,15995,2004,jeep,wrangler,good,64694,manual,4wd,SUV,green
1824,prescott,12500,1976,cadillac,eldorado,good,39000,automatic,rwd,convertible,white
1825,binghamton,2195,2005,chrysler,pacifica touring,good,108000,automatic,4wd,SUV,grey
1826,killeen / temple / ft hood,29990,2017,jeep,wrangler unlimited sport,good,18934,other,4wd,other,black
1827,san antonio,7000,2008,honda,accord,excellent,132893,automatic,fwd,sedan,blue
1828,boston,2900,2009,kia,optima lx,excellent,156720,automatic,fwd,sedan,red
1829,"washington, DC",4800,2009,toyota,matrix,excellent,128527,automatic,fwd,sedan,red
1830,oklahoma city,8988,2011,hyundai,tucson gl,good,124373,automatic,fwd,SUV,blue
1831,dayton / springfield,13450,2016,honda,civic lx,excellent,53000,automatic,fwd,sedan,grey
1832,toledo,2995,2010,kia,forte,excellent,160200,automatic,fwd,sedan,silver
1833,okaloosa / walton,1800,2000,ford,taurus,good,179569,automatic,fwd,coupe,white
1834,rhode island,6995,2005,chevrolet,silverado 1500,excellent,181140,automatic,4wd,pickup,white
1835,worcester / central MA,11400,2016,toyota,corolla,excellent,70850,automatic,fwd,sedan,black
1836,indianapolis,6926,2004,ram,1500 slt,excellent,174249,automatic,rwd,truck,white
1837,tampa bay area,4500,2007,mazda,mazda6,excellent,128799,automatic,fwd,sedan,black
1838,space coast,9590,2009,toyota,yaris sedan 4d,good,83460,other,fwd,sedan,silver
1839,dallas / fort worth,8500,2011,ford,expedition,good,181800,automatic,rwd,SUV,white
1840,bakersfield,26995,2017,audi,a3 sedan,good,24897,automatic,4wd,sedan,white
1841,corvallis/albany,0,2004,chevrolet,colorado extended cab,good,101666,automatic,rwd,pickup,silver
1842,tallahassee,4500,2003,ford,explorer limited,excellent,137,automatic,4wd,SUV,black
1843,boston,4900,2007,jeep,commander,good,124250,automatic,4wd,SUV,silver
1844,redding,12999,2012,bmw,x5,excellent,120666,automatic,4wd,SUV,grey
1845,kenosha-racine,950,2002,pontiac,grand am,good,141000,automatic,fwd,coupe,silver
1846,daytona beach,10500,2017,jeep,compass,excellent,60000,automatic,fwd,SUV,white
1847,central NJ,8900,2007,honda,crv ex 4wd,excellent,73000,automatic,4wd,SUV,black
1848,monterey bay,4895,2014,ford,focus,excellent,160412,automatic,fwd,sedan,black
1849,philadelphia,9995,2012,chrysler,300,excellent,139053,automatic,rwd,sedan,white
1850,new hampshire,11995,2014,toyota,corolla le,excellent,57000,automatic,fwd,sedan,red
1851,raleigh / durham / CH,15000,2011,jeep,wrangler,good,166000,manual,4wd,SUV,black
1852,wausau,18000,2017,chrysler,pacifica,good,58000,automatic,fwd,mini-van,red
1853,san luis obispo,6995,2004,cadillac,srx,good,98232,automatic,rwd,wagon,silver
1854,ocala,15990,2016,volkswagen,cc 2.0t sport sedan,good,42089,automatic,fwd,sedan,white
1855,richmond,3199,2005,honda,civic,excellent,182341,automatic,fwd,sedan,silver
1856,palm springs,6500,2006,cadillac,cts,excellent,66000,manual,rwd,sedan,blue
1857,bloomington,29997,2016,chevrolet,colorado z71,like new,35069,automatic,4wd,truck,blue
1858,frederick,7500,2002,jeep,wrangler sahara,good,153000,manual,4wd,SUV,green
1859,bowling green,14500,2013,ford,mustang,excellent,99794,automatic,rwd,coupe,silver
1860,spokane / coeur d'alene,16995,2017,subaru,legacy 2.5i premium,like new,39000,automatic,4wd,sedan,black
1861,charlotte,5000,2004,honda,civic coupe,excellent,92400,automatic,fwd,coupe,silver
1862,killeen / temple / ft hood,13000,2010,ram,1500,good,208000,automatic,4wd,truck,black
1863,charlotte,19500,2009,toyota,tacoma trd sport,good,119569,automatic,4wd,truck,black
1864,norfolk / hampton roads,6497,2010,toyota,prius,excellent,168574,automatic,fwd,hatchback,white
1865,portland,39800,2018,toyota,tacoma pro,like new,11967,automatic,4wd,pickup,white
1866,spokane / coeur d'alene,3100,2001,jeep,grand cherokee,good,141800,automatic,4wd,SUV,black
1867,redding,14499,2012,mercedes-benz,e-class,excellent,105117,automatic,rwd,coupe,grey
1868,hawaii,11995,2013,ford,explorer xlt,excellent,117614,automatic,fwd,SUV,blue
1869,charleston,19590,2014,mercedes-benz,e-class e 350,good,65906,automatic,rwd,sedan,black
1870,atlanta,4850,2003,toyota,camry,like new,104000,automatic,fwd,sedan,green
1871,greensboro,3500,2014,ford,fiesta,good,138227,automatic,fwd,hatchback,silver
1872,orange county,6850,2008,toyota,tacoma,good,186000,automatic,rwd,truck,silver
1873,SF bay area,35771,2019,hyundai,santa fe xl limited,good,1332,automatic,fwd,other,black
1874,ashtabula,3300,2008,chevrolet,cobalt,excellent,138676,automatic,fwd,sedan,grey
1875,yuba-sutter,21999,2007,chevrolet,corvette,excellent,105399,automatic,rwd,convertible,silver
1876,atlanta,4800,2008,audi,a4,excellent,132325,automatic,fwd,convertible,blue
1877,las vegas,11900,2013,mercedes-benz,c-class,excellent,91496,automatic,rwd,sedan,white
1878,kalamazoo,14900,2019,chevrolet,cruze,good,39500,automatic,fwd,sedan,black
1879,knoxville,27990,2018,mazda,mx-5 miata rf grand,good,4250,other,rwd,convertible,black
1880,buffalo,8875,2000,jeep,wrangler,excellent,142595,automatic,4wd,SUV,white
1881,waco,31990,2018,jeep,wrangler unlimited all new,good,8075,other,4wd,SUV,black
1882,bend,14000,2012,bmw,x5 xdrive35i,good,137000,automatic,4wd,SUV,grey
1883,western massachusetts,28990,2017,chevrolet,silverado 1500 double,good,28466,automatic,4wd,pickup,red
1884,bakersfield,0,2012,acura,tsx 2.4 sedan,excellent,185181,automatic,fwd,sedan,silver
1885,south jersey,3500,2007,chrysler,pt cruiser,excellent,78752,automatic,fwd,mini-van,blue
1886,muskegon,8995,2012,ford,fusion sel,excellent,82338,automatic,fwd,sedan,white
1887,reno / tahoe,5900,2007,mazda,6,excellent,129000,automatic,fwd,sedan,grey
1888,birmingham,950,2004,buick,ranier,fair,214000,automatic,rwd,SUV,silver
1889,chico,11985,2011,mercedes-benz,m-class,excellent,112351,automatic,4wd,SUV,black
1890,ventura county,5500,2001,bmw,z3 roadster,good,130000,automatic,rwd,convertible,red
1891,fort collins / north CO,18590,2015,chevrolet,impala lt sedan 4d,good,20412,other,fwd,sedan,black
1892,atlanta,12990,2013,buick,encore premium sport,good,54716,automatic,fwd,other,red
1893,madison,18500,2015,honda,crv ex-l,excellent,45400,automatic,fwd,SUV,black
1894,modesto,22985,2017,ford,explorer,excellent,62780,automatic,fwd,SUV,white
1895,detroit metro,21900,2017,bmw,x1 xdrive28i,like new,45196,automatic,4wd,SUV,black
1896,syracuse,5800,2007,subaru,outback,good,120000,automatic,4wd,wagon,black
1897,tulsa,0,2019,dodge,charger sxt,like new,9916,automatic,rwd,sedan,red
1898,hawaii,1500,1986,toyota,pickup,fair,200000,manual,rwd,pickup,white
1899,jonesboro,28000,2014,jeep,wrangler unlimited,good,50000,automatic,4wd,SUV,black
1900,columbia,4990,2002,lexus,es300,excellent,140227,automatic,fwd,sedan,silver
1901,san luis obispo,9875,2009,ford,flex sel - 3rd row,excellent,97350,automatic,4wd,SUV,grey
1902,western massachusetts,6495,2013,hyundai,elantra,excellent,91500,automatic,fwd,sedan,grey
1903,south jersey,8999,2016,nissan,versa note,excellent,61421,automatic,fwd,sedan,black
1904,corpus christi,20990,2013,infiniti,g g37 sport sedan 4d,good,25135,other,rwd,sedan,white
1905,ft myers / SW florida,43990,2018,jeep,wrangler unlimited all new,good,11065,other,4wd,other,black
1906,fayetteville,7500,2013,buick,encore premium sport,excellent,105000,automatic,fwd,SUV,brown
1907,jonesboro,8650,2012,buick,enclave cxl,like new,114343,automatic,fwd,SUV,white
1908,eugene,11295,2012,cadillac,srx,excellent,115289,automatic,fwd,SUV,brown
1909,southern maryland,28990,2013,toyota,tundra double cab pickup,good,23490,automatic,4wd,pickup,red
1910,south coast,10995,2012,chevrolet,equinox lt,good,97000,automatic,4wd,SUV,black
1911,redding,8505,2005,dodge,dakota 4x4,excellent,162833,automatic,4wd,truck,white
1912,sioux falls / SE SD,7200,2009,honda,civic lx,like new,34900,automatic,fwd,coupe,black
1913,san diego,6999,2012,volkswagen,jetta sedan,excellent,107654,manual,fwd,sedan,red
1914,winchester,5990,2005,gmc,yukon denali 4x4,excellent,171000,automatic,4wd,SUV,black
1915,columbia,6950,2008,toyota,highlander limited 4wd,fair,222300,automatic,4wd,SUV,blue
1916,north jersey,900,2009,nissan,murano sl,fair,200000,automatic,4wd,SUV,grey
1917,upper peninsula,17000,2010,toyota,tundra double cab limited,excellent,155000,automatic,4wd,truck,red
1918,houston,57850,2019,ram,2500,excellent,47865,automatic,4wd,pickup,black
1919,raleigh / durham / CH,6500,2012,mazda,3,good,80356,manual,fwd,sedan,white
1920,greenville / upstate,55690,2021,ford,f350 super duty,new,13,automatic,4wd,pickup,white
1921,appleton-oshkosh-FDL,5800,2014,jeep,cherokee latitude,good,195500,manual,4wd,SUV,red
1922,louisville,4300,2003,mitsubishi,montero sport ls,excellent,186877,automatic,fwd,SUV,custom
1923,"kansas city, MO",29990,2015,ford,expedition el limited sport,good,64488,other,4wd,other,blue
1924,grand rapids,28590,2015,gmc,sierra 1500 crew cab sle,good,81607,automatic,4wd,pickup,brown
1925,winchester,8399,2013,chevrolet,equinox ls,excellent,100834,automatic,fwd,SUV,blue
1926,north jersey,12590,2018,ford,fiesta se hatchback 4d,good,33610,other,fwd,hatchback,black
1927,southern illinois,13995,2006,chevrolet,silverado 2500hd duramax,excellent,384682,automatic,4wd,pickup,black
1928,lafayette / west lafayette,35990,2020,ram,1500 classic crew cab slt,good,4058,automatic,4wd,pickup,white
1929,cincinnati,21000,2018,toyota,rav4,like new,8100,automatic,4wd,SUV,green
1930,sarasota-bradenton,40000,2006,toyota,camry le,good,162431,automatic,fwd,sedan,brown
1931,modesto,0,2015,honda,fit lx hatchback 4d,like new,45675,automatic,fwd,hatchback,blue
1932,albany,19500,2013,gmc,sierra 2500hd 4x4,excellent,149000,automatic,4wd,pickup,white
1933,vermont,14995,2014,honda,cr-v,good,112697,automatic,4wd,SUV,black
1934,chico,13900,2013,subaru,outback limited,excellent,31,automatic,4wd,wagon,white
1935,visalia-tulare,30990,2014,mercedes-benz,e-class e 350,good,24309,automatic,rwd,other,silver
1936,joplin,0,2015,ford,focus 5dr hb st,good,39438,manual,fwd,hatchback,white
1937,bemidji,14990,2013,dodge,durango crew,excellent,139846,automatic,rwd,SUV,white
1938,lewiston / clarkston,14395,2007,cadillac,escalade,excellent,151522,automatic,4wd,SUV,blue
1939,"st louis, MO",38990,2019,toyota,tundra double cab sr5,good,15133,other,4wd,pickup,red
1940,roanoke,6700,2014,chevrolet,malibu lt,excellent,115695,automatic,fwd,sedan,white
1941,asheville,36990,2017,dodge,challenger r/t scat pack,good,10897,other,rwd,coupe,red
1942,orange county,29499,2016,mercedes-benz,gle 350 sport utility,like new,44426,automatic,rwd,SUV,white
1943,richmond,8995,2011,subaru,forester 2.5i premium,excellent,121000,automatic,4wd,SUV,grey
1944,hawaii,8500,2007,lexus,es 350,good,65000,automatic,fwd,sedan,custom
1945,las vegas,8565,2017,hyundai,accent se,excellent,58914,automatic,fwd,sedan,white
